"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.349409167E-1,3.308719482E0,7.014263763E0,1.778017593E1,1.939799415E1
6.448879167E-1,1.811832275E0,7.644303589E0,1.607791580E1,1.789462182E1
6.548359166E-1,3.894900513E-1,1.636277344E1,2.075254486E1,2.643028897E1
6.647829167E-1,-1.977837067E0,2.599763763E1,2.260344589E1,3.450659021E1
6.747309167E-1,-6.720125427E0,1.532049088E1,2.103500748E1,2.687655235E1
6.846779166E-1,-6.989116058E0,6.741231537E0,2.205348953E1,2.409664596E1
6.946249167E-1,-1.331181793E0,7.674091644E0,2.202998840E1,2.336630301E1
7.045729167E-1,4.147874451E0,1.163904648E1,1.448253342E1,1.903722773E1
7.145199168E-1,8.600066071E0,1.464674194E1,9.811347198E0,1.961506359E1
7.244679166E-1,8.354277191E0,1.442729828E1,6.507417755E0,1.789657422E1
7.344149167E-1,6.465953979E0,1.349668350E1,4.135150909E0,1.552638076E1
7.443619168E-1,8.318202209E0,1.411729294E1,2.229164429E0,1.653661459E1
7.543099166E-1,7.886799316E0,1.442924423E1,3.583547974E0,1.682992896E1
7.642569167E-1,6.256838837E0,1.367107086E1,4.091591492E0,1.558163444E1
7.742049168E-1,5.727988586E0,1.175745026E1,1.112785950E0,1.312576788E1
7.841519166E-1,8.419990540E-1,8.450377350E0,-4.400249634E0,9.564519674E0
7.940989167E-1,-2.813698883E0,5.899980927E0,-8.408314819E0,1.065018471E1
8.040469168E-1,-4.650828552E0,4.797074432E0,-8.937165070E0,1.115863114E1
8.139939166E-1,-3.569177856E0,4.094585266E0,-7.322622528E0,9.117316478E0
8.239419167E-1,-1.610950012E0,3.027304688E0,-5.229076080E0,6.253236783E0
8.338889168E-1,1.983525238E0,2.674039307E0,-3.593726807E0,4.898952025E0
8.438359166E-1,3.962110748E0,2.675835571E0,-9.313632202E-1,4.870919321E0
8.537839167E-1,2.313439178E0,2.992876282E0,2.905607758E0,4.769891583E0
8.637309168E-1,2.274520111E0,3.472179565E0,6.167175293E0,7.433944025E0
8.736789166E-1,3.109932861E0,2.637215881E0,7.314389648E0,8.374179717E0
8.836259167E-1,3.083737335E0,1.261426849E0,6.758296051E0,7.534931928E0
8.935729167E-1,2.025587769E0,-1.486408997E-1,5.375471649E0,5.746372367E0
9.035209166E-1,4.685256958E-2,-1.340911560E0,3.811823273E0,4.041068626E0
9.134679167E-1,-1.252744904E0,-2.328557739E0,2.327210541E0,3.522422439E0
9.234159167E-1,-1.742975464E0,-3.175646210E0,1.043180695E0,3.769737163E0
9.333629166E-1,-1.580563202E0,-3.672014008E0,1.820214844E-1,4.001874402E0
9.433099166E-1,-1.492845612E0,-3.904330902E0,-1.049317932E-1,4.181315402E0
9.532579167E-1,-1.529519348E0,-3.987408142E0,-1.868115234E-1,4.274780892E0
9.632049168E-1,-9.952803040E-1,-3.757037201E0,-7.116201782E-1,3.951242171E0
9.731529166E-1,-2.037263489E-1,-3.538042603E0,-8.216413879E-1,3.637903854E0
9.830999167E-1,-6.706054688E-2,-3.600612488E0,-4.450245667E-1,3.628629806E0
9.930469168E-1,-2.661465454E-1,-3.572920074E0,-3.953279114E-1,3.604563219E0
1.002994917E0,-9.151968384E-1,-3.195105743E0,-4.080514526E-1,3.348550724E0
1.012941917E0,-1.363514557E0,-2.885250092E0,-3.655398560E-1,3.212080233E0
1.022889917E0,-1.181642761E0,-2.839445343E0,-4.320016479E-1,3.105697167E0
1.032836917E0,-8.655001831E-1,-2.580334167E0,-4.246669006E-1,2.754552043E0
1.042783917E0,-8.207432556E-1,-2.164648590E0,-2.161505127E-1,2.325090117E0
1.052731917E0,-6.694079590E-1,-1.406325531E0,1.378633118E-1,1.563606347E0
1.062678917E0,-1.091230774E-1,-3.986210632E-1,5.391787720E-1,6.793528878E-1
1.072626917E0,7.801776123E-1,4.186793518E-1,1.219064941E0,1.506681399E0
1.082573917E0,1.250499573E0,1.185384979E0,2.286495209E0,2.863031098E0
1.092520917E0,1.000070343E0,2.654879150E0,3.380869446E0,4.413479603E0
1.102468917E0,3.258723450E-1,4.612059174E0,4.297563171E0,6.312395094E0
1.112415917E0,4.640350342E-3,7.563771057E0,4.789739685E0,8.952779478E0
1.122363917E0,-8.831634521E-3,1.085377945E1,4.921765137E0,1.191756596E1
1.132310917E0,7.295828247E-1,1.362990646E1,5.491181030E0,1.471256981E1
1.142257917E0,3.129242706E0,1.640768005E1,6.432274017E0,1.789911377E1
1.152205917E0,5.141807556E0,2.003059616E1,8.452772369E0,2.234082201E1
1.162152917E0,6.036497040E0,2.368809036E1,1.026235931E1,2.651190186E1
1.172100917E0,6.838978271E0,2.711925522E1,1.138173157E1,3.019552021E1
1.182047917E0,8.135581970E0,3.019131683E1,1.207523941E1,3.351887100E1
1.191995917E0,9.353449402E0,3.384881104E1,1.360026810E1,3.765894736E1
1.201942917E0,9.409732361E0,3.731051239E1,1.662981812E1,4.191859073E1
1.211889917E0,1.072280182E1,3.886428131E1,1.953991653E1,4.480199972E1
1.221837917E0,1.260723312E1,3.788247299E1,2.189481949E1,4.553468137E1
1.231784917E0,1.361239288E1,3.598277344E1,2.309921494E1,4.487349947E1
1.241732917E0,1.142095001E1,3.269710602E1,2.247186951E1,4.128587846E1
1.251679917E0,8.462053070E0,2.928734665E1,1.829750015E1,3.555493676E1
1.261626917E0,4.887935486E0,2.559692093E1,1.088371719E1,2.824092021E1
1.271574917E0,1.971400452E0,2.073443253E1,4.442611542E0,2.129647645E1
1.281521917E0,-4.355941772E-1,1.653431671E1,-3.023712158E-2,1.654008119E1
1.291469917E0,-3.131488037E0,1.120240448E1,-2.768193512E0,1.195671271E1
1.301416917E0,-5.860313416E0,6.296805725E0,-4.449646912E0,9.684647299E0
1.311363917E0,-4.333937531E0,3.131637726E0,-7.095395050E0,8.884525889E0
