"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.400417083E-1,7.777077484E0,-1.935026093E0,5.307063904E0,9.612085489E0
6.500447083E-1,8.130791931E0,-1.746268616E0,5.233866119E0,9.826117548E0
6.600477083E-1,8.317902832E0,-1.394500122E0,5.210065613E0,9.913471733E0
6.700507083E-1,8.573421478E0,-1.108744354E0,5.152734833E0,1.006397268E1
6.800537083E-1,8.875942383E0,-1.145268402E0,5.231471100E0,1.036640163E1
6.900567084E-1,9.117390289E0,-1.264121246E0,5.251679077E0,1.059740258E1
7.000597083E-1,9.550589447E0,-1.221160583E0,4.757706299E0,1.073968161E1
7.100627084E-1,9.961035919E0,-8.099656677E-1,4.210743713E0,1.084475189E1
7.200657083E-1,1.010937744E1,-1.621128845E-1,3.246448975E0,1.061909713E1
7.300677084E-1,9.794582062E0,1.661544800E-1,2.459834747E0,1.010011050E1
7.400707083E-1,9.550739136E0,-5.360353088E-1,2.882106628E0,9.990520032E0
7.500737083E-1,9.700278168E0,-1.483714600E0,3.024460602E0,1.026860105E1
7.600767083E-1,9.403445435E0,-1.730850677E0,2.844534760E0,9.975570565E0
7.700797083E-1,8.998537445E0,-1.794468384E0,2.717748413E0,9.569741343E0
7.800827083E-1,8.635691986E0,-1.706601105E0,2.592608643E0,9.176561610E0
7.900857083E-1,8.124804382E0,-1.644480286E0,2.029479675E0,8.534374577E0
8.000887083E-1,7.808512115E0,-2.130519562E0,1.415755920E0,8.216832716E0
8.100917083E-1,7.715705109E0,-3.319796448E0,1.375639343E0,8.511494427E0
8.200947084E-1,7.320676575E0,-4.918621674E0,1.836231537E0,9.008711947E0
8.300977083E-1,6.710994415E0,-5.812263336E0,1.889520721E0,9.076901436E0
8.401007083E-1,6.246210938E0,-5.738766174E0,1.355281677E0,8.589841483E0
8.501037083E-1,6.199807434E0,-5.037025452E0,3.143463135E-1,7.994251136E0
8.601067083E-1,6.560706940E0,-3.852388916E0,-9.985734558E-1,7.673390701E0
8.701087083E-1,7.307803345E0,-1.668580170E0,-1.847458191E0,7.720184666E0
8.801117083E-1,8.044122162E0,-8.604107666E-1,-3.339555359E-1,8.096896587E0
8.901147083E-1,9.149872742E0,-1.100062408E0,6.500981140E-1,9.238665274E0
9.001177083E-1,9.953252106E0,-1.103654938E0,1.015338593E0,1.006559458E1
9.101207083E-1,9.675429840E0,-1.569037170E0,1.682650909E0,9.945206600E0
9.201237083E-1,9.257049866E0,-3.458857269E0,1.935026093E0,1.006980595E1
9.301267084E-1,8.721463623E0,-6.082152100E0,2.887345734E0,1.101786128E1
9.401297500E-1,8.337961121E0,-7.715555420E0,3.398832092E0,1.185763259E1
9.501327500E-1,7.741002502E0,-8.983867950E0,3.727548523E0,1.243091393E1
9.601357500E-1,7.239994354E0,-9.941726074E0,3.286565552E0,1.273015902E1
9.701387500E-1,6.544690247E0,-1.028675858E1,3.576961670E0,1.270610197E1
9.801417500E-1,5.698499908E0,-9.863887939E0,3.545377350E0,1.193058620E1
9.901447500E-1,4.324806519E0,-9.106013947E0,2.825374603E0,1.046929716E1
1.000147750E0,4.058659973E0,-8.303682404E0,1.641785889E0,9.387189310E0
1.010150750E0,4.815635834E0,-7.506290588E0,1.824705505E-1,8.920092061E0
1.020152750E0,5.807024231E0,-6.197861481E0,-9.473799133E-1,8.545908147E0
1.030155750E0,7.022197266E0,-5.242697754E0,-1.060095520E0,8.827283653E0
1.040158750E0,7.748786316E0,-4.680616608E0,-4.984634399E-1,9.066439599E0
1.050161750E0,8.118517456E0,-4.312232666E0,5.123844910E-1,9.206965522E0
1.060164750E0,8.344996490E0,-4.498894501E0,1.762135620E0,9.642828428E0
1.070167750E0,8.148754578E0,-4.788392487E0,2.750979309E0,9.843718349E0
1.080170750E0,8.337661743E0,-4.973557434E0,3.349434814E0,1.026993624E1
1.090173750E0,8.139623566E0,-5.090913391E0,3.206482086E0,1.012187721E1
1.100176750E0,7.628735962E0,-5.178032227E0,2.098785553E0,9.455925704E0
1.110179750E0,7.145241394E0,-5.123695221E0,5.586383057E-1,8.810153464E0
1.120182750E0,6.975644073E0,-4.911137238E0,-8.397537231E-1,8.572284732E0
1.130185750E0,6.235133972E0,-4.825215912E0,-1.638492737E0,8.052593538E0
1.140188750E0,5.729335785E0,-4.973258057E0,-1.519340515E0,7.737375513E0
1.150191750E0,4.529131622E0,-5.537434845E0,-1.297352142E0,7.270442937E0
1.160194750E0,4.779710541E0,-6.658303986E0,-7.975415039E-1,8.234969172E0
1.170196750E0,5.219196625E0,-7.621850281E0,1.585203552E-1,9.238925469E0
1.180199750E0,6.209537201E0,-9.242829437E0,1.410666504E0,1.122400233E1
1.190202750E0,7.663613434E0,-1.047267197E1,2.352957001E0,1.318879205E1
1.200205750E0,8.978778534E0,-1.073836945E1,2.342927856E0,1.419226385E1
1.210208750E0,1.133368149E1,-1.096365097E1,1.767374725E0,1.586750113E1
1.220211750E0,1.379127090E1,-1.047761169E1,4.906796265E-1,1.732686545E1
1.230214750E0,1.467997284E1,-1.025876678E1,-1.169218597E0,1.794745025E1
1.240217750E0,1.413315994E1,-9.103020172E0,-2.493814087E0,1.699500794E1
1.250220750E0,1.310404999E1,-7.004683685E0,-3.693419495E0,1.531088068E1
1.260223750E0,1.113429611E1,-4.979395294E0,-4.427942047E0,1.297588526E1
1.270226750E0,1.001716919E1,-4.328848114E0,-4.143383789E0,1.167262754E1
1.280229750E0,9.682315521E0,-4.742288361E0,-3.605851593E0,1.136831995E1
1.290232750E0,9.402098236E0,-5.130730591E0,-3.612437897E0,1.130369653E1
1.300235750E0,8.738827515E0,-5.316643982E0,-3.571872253E0,1.083476262E1
1.310238750E0,7.618257751E0,-6.515800323E0,-3.209924927E0,1.052602124E1
1.320240750E0,6.522985382E0,-8.075556793E0,-2.419718170E0,1.065922098E1
1.330243750E0,5.142705688E0,-9.150920563E0,-2.080074463E0,1.070109708E1
1.340246750E0,4.202810211E0,-1.010279114E1,-1.837728424E0,1.109537058E1
1.350249750E0,3.559597778E0,-9.732610931E0,-2.246827698E-1,1.036556483E1
1.360252750E0,2.035167847E0,-9.504485321E0,-1.778302002E-1,9.721562270E0
1.370255750E0,2.203417969E-1,-9.985734558E0,-8.261320496E-1,1.002227216E1
1.380258750E0,-8.214916992E-1,-9.832153931E0,-4.793032837E-1,9.878047943E0
1.390261750E0,-1.368753662E0,-8.844507751E0,6.527925110E-1,8.973569079E0
1.400264750E0,-1.588197327E0,-6.987619171E0,1.365011444E0,7.294686331E0
1.410267750E0,-9.864486694E-1,-5.708529053E0,1.028511200E0,5.883725029E0
1.420270750E0,-6.858737183E-1,-5.309907990E0,5.629792786E-1,5.383538918E0
1.430273750E0,-8.000862122E-1,-4.430935822E0,3.335064697E-1,4.514925998E0
1.440276750E0,-6.348298645E-1,-4.076622620E0,4.704716492E-1,4.152493770E0
1.450279750E0,1.197509766E-1,-4.289779358E0,-1.266366577E-1,4.293318539E0
1.460282750E0,1.637295227E0,-4.828209686E0,-2.074386292E0,5.504127808E0
1.470284750E0,2.093097382E0,-4.115242310E0,-9.147477722E-1,4.706701542E0
1.480287750E0,2.536625061E0,-3.404520264E0,1.393601990E-1,4.247899033E0
1.490290750E0,3.113974457E0,-3.050207062E0,8.424481201E-1,4.439630488E0
1.500293750E0,3.348686371E0,-2.595003662E0,7.610174561E-1,4.304287628E0
1.510296750E0,4.348756714E0,-3.381468201E0,1.341360626E0,5.669679045E0
1.520299750E0,6.029910736E0,-4.520898743E0,1.919757843E0,7.777134376E0
1.530302750E0,7.468868408E0,-4.841232605E0,2.484683075E0,9.240951164E0
1.540305750E0,7.730823669E0,-6.905889130E0,2.361489258E0,1.063172473E1
1.550308750E0,7.509583740E0,-1.102996307E1,8.053253174E-2,1.334392816E1
1.560311750E0,6.550528107E0,-1.606249786E1,-1.723515930E0,1.743226214E1
1.570314750E0,4.937033386E0,-2.010229706E1,-3.438200226E0,2.098327588E1
1.580317750E0,3.179538116E0,-2.347193985E1,-4.187541962E0,2.405362614E1
1.590320750E0,2.219434662E0,-2.476180756E1,-3.578308868E0,2.511727091E1
1.600323750E0,2.640059967E0,-2.458652206E1,-2.467169495E0,2.485063197E1
1.610326750E0,2.170935516E0,-2.245420624E1,-8.184979248E-1,2.257375196E1
1.620329750E0,8.913963318E-1,-1.960922241E1,8.232879639E-2,1.962964516E1
1.630332750E0,-7.247927856E-1,-1.616219055E1,4.046086121E-1,1.618349271E1
1.640334750E0,-1.687890015E0,-1.267728745E1,-4.760101318E-2,1.278924765E1
1.650337750E0,-1.710942078E0,-9.331145782E0,-2.812651062E-1,9.490875327E0
1.660340750E0,-2.765798492E0,-6.946454773E0,2.234852600E-1,7.480161821E0
1.670343750E0,-3.551813965E0,-5.778134308E0,6.538403320E-1,6.813936139E0
1.680346750E0,-3.529510345E0,-4.496798859E0,9.249266052E-1,5.790866298E0
1.690349750E0,-4.093687134E0,-3.145858154E0,1.461860046E0,5.365792828E0
1.700352750E0,-4.897066498E0,-3.615281982E0,2.380649414E0,6.535978559E0
1.710355750E0,-5.899382172E0,-4.650080109E0,3.185974731E0,8.159435643E0
1.720358750E0,-6.321953430E0,-5.395080872E0,3.759432220E0,9.121804833E0
