"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.564010417E-1,2.533631287E0,6.192622375E-1,8.612490234E0,8.998764429E0
6.663490417E-1,2.299218750E0,4.713697815E-1,8.759783936E0,9.068760165E0
6.762960418E-1,2.211800537E0,2.607577515E-1,8.956474915E0,9.229219854E0
6.862440417E-1,2.286944275E0,9.864486694E-2,9.070986786E0,9.355353879E0
6.961920417E-1,2.456541595E0,6.286926270E-3,9.212442627E0,9.534345037E0
7.061400418E-1,2.599793701E0,-4.071533203E-2,9.352850647E0,9.707543472E0
7.160870417E-1,2.655926971E0,-5.254074097E-2,9.429042206E0,9.796098485E0
7.260350417E-1,2.595003662E0,-6.421646118E-2,9.548344116E0,9.894899854E0
7.359830418E-1,2.455793152E0,-9.999206543E-2,9.624086609E0,9.932973446E0
7.459300417E-1,2.288291473E0,-1.359173584E-1,9.642198944E0,9.910941019E0
7.558780417E-1,1.785636749E0,-3.772155762E-2,9.596394196E0,9.761183487E0
7.658260418E-1,-1.798509979E0,1.513053589E0,1.039513321E1,1.065752146E1
7.757740417E-1,-3.419189758E0,3.629951477E0,1.537378006E1,1.616231789E1
7.857210417E-1,-6.798861694E-1,3.933969269E0,1.519115982E1,1.570699513E1
7.956690418E-1,4.662803650E-1,1.904788971E0,9.967023468E0,1.015810982E1
8.056170417E-1,5.313949585E-1,8.881031799E-1,9.266929321E0,9.324542182E0
8.155640417E-1,9.116043091E-1,1.255289612E0,1.113609238E1,1.124363499E1
8.255120418E-1,1.428030396E0,1.934876404E0,1.112681168E1,1.138371449E1
8.354600416E-1,2.017803955E0,2.638263702E0,9.579629059E0,1.013909567E1
8.454080417E-1,1.968256989E0,3.031645660E0,1.048494644E1,1.109049200E1
8.553550418E-1,1.624571686E0,2.165397034E0,1.051428543E1,1.085718083E1
8.653030416E-1,1.912872162E0,9.120533752E-1,9.758806458E0,9.986251786E0
8.752510417E-1,2.005828857E0,5.688171387E-2,9.324709167E0,9.538175192E0
8.851980418E-1,1.243763580E0,-1.624122620E-1,9.057365112E0,9.143806011E0
8.951460416E-1,2.201921082E-1,3.727249146E-2,8.901688843E0,8.904489770E0
9.050940417E-1,-5.746549988E-1,3.228785706E-1,8.775501251E0,8.800221653E0
9.150420418E-1,-8.888516235E-1,7.137158203E-1,8.887618103E0,8.960424266E0
9.249890416E-1,-5.240602112E-1,9.401948547E-1,8.901239777E0,8.966084710E0
9.349370417E-1,-2.993774414E-4,8.928932190E-1,8.977581024E0,9.021874497E0
9.448850418E-1,3.606001282E-1,7.473957825E-1,9.307494965E0,9.344415200E0
9.548330416E-1,3.549119568E-1,6.276448059E-1,9.503437500E0,9.530751535E0
9.647800417E-1,1.329235840E-1,5.921685791E-1,9.553433533E0,9.572691605E0
9.747280418E-1,2.043251038E-1,7.436535645E-1,9.170380096E0,9.202751789E0
9.846760416E-1,2.682421875E-1,9.310638428E-1,9.143585815E0,9.194780874E0
9.946230417E-1,3.492237854E-1,1.114282837E0,8.951834564E0,9.027675535E0
1.004571042E0,3.588038635E-1,1.250200195E0,8.718320160E0,8.814808401E0
1.014519042E0,3.927832031E-1,1.332079926E0,8.473728790E0,8.586780257E0
1.024467042E0,5.201683044E-1,1.468596039E0,8.232879639E0,8.379000927E0
1.034414042E0,3.493734741E-1,1.626218262E0,8.340206451E0,8.504451265E0
1.044362042E0,-1.067280579E-1,1.622476044E0,8.852740631E0,9.000824189E0
1.054310042E0,-6.599775696E-1,1.428030396E0,9.584868164E0,9.713111701E0
1.064258042E0,-1.162632294E0,1.122366028E0,1.012958542E1,1.025767616E1
1.074205042E0,-1.588047638E0,9.237290955E-1,1.039722885E1,1.055829241E1
1.084153042E0,-1.846859436E0,9.163943481E-1,1.009351044E1,1.030192319E1
1.094101042E0,-1.850451965E0,1.028511200E0,9.348359985E0,9.585084360E0
1.104048042E0,-7.673043823E-1,1.227896576E0,8.773255920E0,8.891934855E0
1.113996042E0,-4.020639038E-1,1.645528107E0,8.951086121E0,9.109959433E0
1.123944042E0,-9.898915100E-1,2.117346954E0,8.901389465E0,9.203139559E0
1.133892042E0,-9.160949707E-1,2.211201782E0,8.375233612E0,8.710521303E0
1.143839042E0,-7.191046143E-1,2.069895630E0,8.070916443E0,8.363089835E0
1.153787042E0,-6.599775696E-1,1.850302277E0,8.174201660E0,8.406947228E0
1.163735042E0,-7.866142273E-1,1.593586121E0,8.340206451E0,8.527445240E0
