"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.341280832E-1,-4.191284180E-2,-8.312214661E-1,2.121089172E-1,8.588806697E-1
6.440750833E-1,-4.354444885E-1,-1.143771515E0,1.490899658E0,1.928887496E0
6.540230834E-1,-1.953437805E0,-1.812880096E0,2.501747589E0,3.655296774E0
6.639700835E-1,-4.126319275E0,-2.703677673E0,4.712350616E0,6.822216066E0
6.739170833E-1,-6.196364594E0,-2.528392181E0,1.264570312E0,6.810788447E0
6.838650834E-1,-5.347330170E0,-1.875899048E0,2.288740540E-1,5.671447832E0
6.938120835E-1,-3.129991150E0,-1.860032043E0,9.741741943E-1,3.769028942E0
7.037590833E-1,-1.502575378E0,-1.690883789E0,2.158211975E0,3.126451613E0
7.137070834E-1,-1.055455170E0,-1.056802368E0,2.468516693E0,2.885202164E0
7.236540834E-1,7.837701416E-1,-2.401007080E-1,2.243085480E0,2.388174293E0
7.336010833E-1,4.104614410E0,5.673202515E-2,1.518143005E0,4.376738074E0
7.435490834E-1,4.065246277E0,-1.021924896E0,1.181493073E0,4.355052659E0
7.534962499E-1,2.721790009E0,-1.074765015E0,1.357826385E0,3.225980964E0
7.634432500E-1,1.963017883E0,8.418493652E-1,1.231339417E0,2.465430251E0
7.733912501E-1,2.157164154E0,3.581003265E0,4.840933228E-1,4.208478100E0
7.833382501E-1,2.140548706E0,6.207591248E0,-9.539662170E-1,6.635223388E0
7.932852500E-1,2.973267059E0,7.947722626E0,-6.869215393E-1,8.513428989E0
8.032332500E-1,2.855462036E0,8.859027557E0,1.692230988E0,9.460426968E0
8.131802501E-1,9.271719360E-1,1.025472519E1,6.474785614E0,1.216313632E1
8.231272500E-1,1.329235840E-1,1.595606918E1,1.129670837E1,1.955068880E1
8.330752500E-1,1.149759064E0,1.959245728E1,7.205565948E0,2.090709230E1
8.430222501E-1,2.076182556E0,2.147793640E1,5.244793396E0,2.220630865E1
8.529692499E-1,3.665278015E0,2.642005920E1,9.922565918E0,2.845893718E1
8.629172500E-1,-1.052162018E0,2.977952316E1,1.096874039E1,3.175280004E1
8.728642501E-1,-5.523962860E0,3.060834961E1,1.594783630E1,3.495309306E1
8.828112499E-1,-7.427554321E0,3.164674026E1,1.803524551E1,3.717465283E1
8.927592500E-1,-9.094338226E0,3.162563416E1,1.951342163E1,3.825782727E1
9.027062501E-1,-8.470136261E0,3.019999878E1,2.036470139E1,3.739658002E1
9.126532499E-1,-5.585484924E0,2.790122910E1,2.015828064E1,3.487165762E1
9.226012500E-1,-1.959724731E0,2.562715805E1,1.808224777E1,3.142545839E1
9.325482501E-1,5.968089294E-1,2.302107742E1,1.429766785E1,2.710626298E1
9.424952499E-1,1.897154846E0,2.018687119E1,9.915680237E0,2.257054894E1
9.524432500E-1,2.063459015E0,1.745714767E1,5.561235352E0,1.843738611E1
9.623902501E-1,1.574126587E0,1.438568481E1,2.409838715E0,1.467082563E1
9.723372501E-1,1.417851562E0,1.129266678E1,7.741900635E-1,1.140762886E1
9.822852500E-1,2.032623138E0,8.538993073E0,2.032772827E-1,8.779936285E0
9.922322500E-1,2.448159027E0,6.070925446E0,-1.845661926E-1,6.548563435E0
1.002179250E0,2.763852539E0,3.713926849E0,-7.589218140E-1,4.691278698E0
1.012127250E0,2.302661591E0,1.474882965E0,-1.286125488E0,3.021861832E0
1.022074250E0,1.415606232E0,-4.204756165E-1,-1.517693939E0,2.117577777E0
1.032021250E0,6.722520447E-1,-1.916165314E0,-1.524429932E0,2.539192576E0
1.041969250E0,2.947370911E-1,-3.473526764E0,-1.124761047E0,3.662969498E0
1.051916250E0,7.655081177E-1,-4.761298828E0,-1.534309387E-1,4.824884482E0
1.061863250E0,2.324965210E0,-5.397326202E0,1.409169617E0,6.043372599E0
1.071811250E0,3.882176971E0,-5.785618744E0,2.863844604E0,7.533013222E0
1.081758250E0,5.124892731E0,-6.039790192E0,3.614832916E0,8.706928739E0
1.091705250E0,5.990243225E0,-6.050118713E0,3.795207825E0,9.321510220E0
1.101653250E0,6.528374176E0,-5.996380463E0,3.918551331E0,9.691815752E0
1.111600250E0,6.759044495E0,-6.036047974E0,4.261039124E0,1.001374116E1
1.121547250E0,6.538403320E0,-5.956862640E0,4.449946289E0,9.901361142E0
1.131495250E0,5.890101471E0,-5.665718079E0,3.940555573E0,9.073127074E0
1.141442250E0,5.180726624E0,-5.195994873E0,2.902314606E0,7.890609681E0
1.151389250E0,4.227059784E0,-4.628824310E0,1.732048187E0,6.503386797E0
1.161337250E0,3.240162048E0,-3.910468140E0,5.593867493E-1,5.109141289E0
1.171284250E0,2.706222382E0,-3.117267609E0,-4.490661621E-1,4.152427885E0
1.181231250E0,2.478695526E0,-2.412084045E0,-1.253942413E0,3.678920022E0
1.191179250E0,2.413281555E0,-1.757794647E0,-1.832040253E0,3.502876157E0
1.201126250E0,2.144590302E0,-1.313817902E0,-2.290237427E0,3.401554426E0
1.211073250E0,1.503772888E0,-1.184935913E0,-2.464624786E0,3.120862277E0
1.221021250E0,7.195536804E-1,-1.082848206E0,-2.282752991E0,2.627028540E0
1.230968250E0,-3.248245239E-1,-1.042731628E0,-2.083367615E0,2.352279923E0
1.240915250E0,-1.418899384E0,-1.050515442E0,-1.766326904E0,2.497352375E0
1.250863250E0,-1.801054688E0,-1.031355286E0,-1.623374176E0,2.634926076E0
1.260810250E0,-1.840871887E0,-1.032103729E0,-1.852248230E0,2.808001232E0
