"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.712254833397495E9,"2024-04-04 14:20:33.397 UTC-04:00"
"PAUSE",8.843616033333820E1,1.712254921833524E9,"2024-04-04 14:22:01.834 UTC-04:00"
